Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R96,10K**,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,45.339,80.772,180.0,top
RV1,25K,Potentiometer_Bourns_3296W_Vertical,29.718,78.369,-90.0,top
RV2,25K,Potentiometer_Bourns_3296W_Vertical,24.13,78.369,-90.0,top
U1,TLP250,DIP-8_W8.89mm_SMDSocket_LongPads,59.839099,71.524175,-90.0,top
U2,EG8010,LQFP-32_7x7mm_P0.8mm,145.065198,64.369176,90.0,top
U3,AMC1200,DIP-8_W8.89mm_SMDSocket_LongPads,41.91,63.246,90.0,top
U4,TLP250,DIP-8_W8.89mm_SMDSocket_LongPads,80.01,71.524175,-90.0,top
U5,TLP250,DIP-8_W8.89mm_SMDSocket_LongPads,121.159099,71.560001,-90.0,top
U6,TLP250,DIP-8_W8.89mm_SMDSocket_LongPads,100.33,71.560001,-90.0,top
U7,7805,TO-252-2,138.956198,53.499176,90.0,top
U9,EL817,DIP-4_W8.89mm_SMDSocket_LongPads,29.337,67.056,90.0,top
U10,AMC1200,DIP-8_W7.62mm_Socket,41.91,63.246,90.0,top
U11,7805,TO-252-2,39.122,50.252,90.0,top
U12,TLP250,DIP-8_W7.62mm_Socket,100.33,71.560001,-90.0,top
U13,TLP250,DIP-8_W7.62mm_Socket,121.159099,71.560001,-90.0,top
U14,TLP250,DIP-8_W7.62mm_Socket,59.839099,71.524175,-90.0,top
U15,TLP250,DIP-8_W7.62mm_Socket,80.01,71.524175,-90.0,top
U16,EL817,DIP-4_W8.89mm_SMDSocket_LongPads,23.495,67.056,-90.0,top
U17,EL817,DIP-4_W7.62mm_Socket_LongPads,23.495,67.056,-90.0,top
U18,EL817,DIP-4_W7.62mm_Socket_LongPads,29.337,67.056,90.0,top
U19,NE555D,SOIC-8_3.9x4.9mm_P1.27mm,44.958,75.692,-90.0,top
U20,LM358,SOIC-8_3.9x4.9mm_P1.27mm,39.243,75.692,90.0,top
Y1,12Mhz,Crystal_SMD_HC49-SD,153.924,57.984176,-90.0,top
Y2,12Mhz,Crystal_HC49-4H_Vertical,153.924,57.984176,-90.0,top
